date;type;;;Holiday;Description
24/06/2022;Workday;;;;
25/06/2022;Not a Workday;;;;
26/06/2022;Not a Workday;;;;
27/06/2022;Workday;;;;
28/06/2022;Workday;;;;
29/06/2022;Workday;;;;
30/06/2022;Workday;;;;
01/07/2022;Workday;;;;
02/07/2022;Not a Workday;;;;
03/07/2022;Not a Workday;;;;
04/07/2022;Workday;;;;
05/07/2022;Workday;;;;
06/07/2022;Workday;;;;
07/07/2022;Workday;;;;
08/07/2022;Workday;;;;
09/07/2022;Not a Workday;;;;
10/07/2022;Not a Workday;;;;
11/07/2022;Workday;;;;
12/07/2022;Workday;;;;
13/07/2022;Workday;;;;
14/07/2022;Workday;;;;
15/07/2022;Workday;;;;
16/07/2022;Not a Workday;;;;
17/07/2022;Not a Workday;;;;
18/07/2022;Workday;;;;
19/07/2022;Workday;;;;
20/07/2022;Workday;;;;
21/07/2022;Workday;;;;
22/07/2022;Workday;;;;
23/07/2022;Not a Workday;;;;
24/07/2022;Not a Workday;;;;
25/07/2022;Workday;;;;
26/07/2022;Workday;;;;
27/07/2022;Workday;;;;
28/07/2022;Workday;;;;
29/07/2022;Workday;;;;
30/07/2022;Not a Workday;;;;
31/07/2022;Not a Workday;;;;
01/08/2022;Workday;;;;
02/08/2022;Workday;;;;
03/08/2022;Workday;;;;
04/08/2022;Workday;;;;
05/08/2022;Workday;;;;
06/08/2022;Not a Workday;;;;
07/08/2022;Not a Workday;;;;
08/08/2022;Workday;;;;
09/08/2022;Workday;;;;
10/08/2022;Workday;;;;
11/08/2022;Workday;;;;
12/08/2022;Workday;;;;
13/08/2022;Not a Workday;;;;
14/08/2022;Not a Workday;;;;
15/08/2022;Workday;;;;
16/08/2022;Workday;;;;
17/08/2022;Workday;;;;
18/08/2022;Workday;;;;
19/08/2022;Workday;;;;
20/08/2022;Not a Workday;;;;
21/08/2022;Not a Workday;;;;
22/08/2022;Workday;;;;
23/08/2022;Workday;;;;
24/08/2022;Workday;;;;
25/08/2022;Workday;;;;
26/08/2022;Workday;;;;
27/08/2022;Not a Workday;;;;
28/08/2022;Not a Workday;;;;
29/08/2022;Workday;;;;
30/08/2022;Workday;;;;
31/08/2022;Workday;;;;
01/09/2022;Workday;;;;
02/09/2022;Workday;;;;
03/09/2022;Not a Workday;;;;
04/09/2022;Not a Workday;;;;
05/09/2022;Workday;;;;
06/09/2022;Workday;;;;
07/09/2022;Workday;;;;
08/09/2022;Workday;;;;
09/09/2022;Workday;;;;
10/09/2022;Not a Workday;;;;
11/09/2022;Not a Workday;;;;
12/09/2022;Workday;;;;
13/09/2022;Workday;;;;
14/09/2022;Workday;;;;
15/09/2022;Workday;;;;
16/09/2022;Workday;;;;
17/09/2022;Not a Workday;;;;
18/09/2022;Not a Workday;;;;
19/09/2022;Workday;;;;
20/09/2022;Workday;;;;
21/09/2022;Workday;;;;
22/09/2022;Workday;;;;
23/09/2022;Workday;;;;
24/09/2022;Not a Workday;;;;
25/09/2022;Not a Workday;;;;
26/09/2022;Workday;;;;
27/09/2022;Workday;;;;
28/09/2022;Workday;;;;
29/09/2022;Workday;;;;
30/09/2022;Workday;;;;
01/10/2022;Not a Workday;;;;
02/10/2022;Not a Workday;;;;
